aX,aY,aZ,gX,gY,gZ
0.927,0.619,1.306,-39.551,14.526,30.396
0.983,0.670,1.291,-47.058,15.625,25.452
1.011,0.726,1.236,-43.152,18.188,20.142
1.003,0.754,1.146,-41.443,20.935,14.404
0.980,0.752,1.042,-36.377,22.583,7.324
0.952,0.712,0.925,-27.161,22.705,0.061
0.926,0.648,0.838,-13.611,19.287,-5.432
0.904,0.608,0.818,4.028,11.719,-8.789
0.891,0.594,0.852,23.315,3.235,-11.841
0.884,0.558,0.931,39.795,-3.235,-16.968
0.875,0.461,0.990,46.143,-5.188,-22.644
0.846,0.406,1.028,52.795,-5.066,-25.940
0.802,0.382,1.071,50.781,-5.066,-26.245
0.756,0.372,1.049,38.879,-3.174,-26.428
0.711,0.388,1.018,23.193,-1.221,-26.611
0.662,0.365,0.960,7.996,-1.770,-28.259
0.621,0.342,0.883,-6.653,-3.723,-30.884
0.576,0.366,0.806,-18.799,-7.751,-32.104
0.538,0.388,0.757,-26.550,-13.123,-33.203
0.517,0.321,0.714,-29.602,-17.639,-35.706
0.485,0.416,0.628,-35.950,-21.362,-35.034
0.459,0.273,0.596,-36.438,-27.222,-39.063
0.433,0.165,0.628,-27.832,-32.654,-37.109
0.412,0.180,0.571,-19.592,-32.532,-27.527
0.410,0.149,0.524,-10.986,-32.532,-19.592
0.415,0.109,0.546,-2.014,-33.997,-11.719
0.399,0.117,0.520,10.376,-31.738,-2.502
0.375,0.150,0.495,17.700,-28.564,5.310
0.351,0.155,0.489,21.423,-26.123,9.338
0.321,0.114,0.492,23.926,-23.621,11.047
0.295,0.090,0.490,22.888,-19.653,13.916
0.274,0.121,0.442,20.264,-14.771,17.578
0.230,0.154,0.416,10.681,-12.085,18.250
0.221,0.117,0.355,21.790,-9.827,15.930
0.226,0.137,0.353,37.476,-9.766,15.259
0.232,0.160,0.351,41.870,-10.437,13.611
0.231,0.143,0.347,45.349,-9.888,10.864
0.246,0.121,0.374,47.424,-9.888,9.521
0.259,0.124,0.390,47.485,-7.812,10.498
0.280,0.133,0.421,46.814,-5.127,12.268
0.288,0.124,0.439,45.105,-2.075,13.794
0.290,0.103,0.452,42.542,1.709,15.198
0.300,0.108,0.464,40.161,4.761,18.372
0.307,0.159,0.475,36.499,8.179,22.644
0.301,0.213,0.474,31.860,12.329,25.452
0.308,0.209,0.478,27.283,15.442,25.085
0.325,0.199,0.476,20.874,16.724,23.315
0.329,0.216,0.499,14.832,15.564,21.606
0.350,0.245,0.556,10.559,12.634,19.409
0.370,0.255,0.619,5.737,10.620,15.991
0.393,0.269,0.651,0.610,10.986,11.963
0.430,0.286,0.664,-0.549,12.329,8.362
0.467,0.292,0.679,0.061,12.451,4.700
0.507,0.278,0.752,0.305,11.536,2.258
0.554,0.281,0.828,1.099,12.024,3.113
0.594,0.267,0.917,1.160,14.709,6.653
0.620,0.253,1.000,-1.831,18.494,11.780
0.616,0.254,1.068,-7.568,22.400,18.311
0.613,0.284,1.078,-16.052,25.391,25.146
0.601,0.390,1.048,-25.024,26.245,30.640
0.593,0.494,1.028,-31.616,22.888,31.555
0.588,0.504,1.020,-39.734,16.785,26.978
0.598,0.499,1.004,-46.814,9.827,22.461
0.626,0.536,0.997,-47.729,2.197,21.362
0.654,0.591,1.030,-45.105,-5.066,22.095
0.655,0.601,1.111,-43.457,-10.193,22.522
0.673,0.614,1.157,-36.987,-10.254,25.146
0.654,0.663,1.159,-33.936,-7.019,30.457
0.642,0.660,1.165,-30.212,-4.639,34.424
